image/x-xpixmap    xpm
image/x-xwindowdump    xwd
model/iges    iges
model/iges    igs
model/mesh    mesh
model/mesh    msh
model/mesh    silo
text/calendar    ics
text/calendar    icz
text/comma-separated-values    csv
text/css    css
text/h323    323
text/html    htm
text/html    html
text/iuls    uls
text/mathml    mml
// add ".txt" first so it will be the default for guessExtensionFromMimeType
text/plain    asc
text/plain    diff
text/plain    po // reserve "pot" for vnd.ms-powerpoint
text/plain    text
text/plain    txt
text/richtext    rtx
text/rtf    rtf
text/tab-separated-values    tsv
text/texmacs    ts
text/text    phps
text/x-bibtex    bib
text/x-boo    boo
text/x-c++hdr    h++
text/x-c++hdr    hh
text/x-c++hdr    hpp
text/x-c++hdr    hxx
text/x-c++src    c++
text/x-c++src    cc
text/x-c++src    cpp
text/x-c++src    cxx
text/x-chdr    h
text/x-component    htc
text/x-csh    csh
text/x-csrc    c
text/x-dsrc    d
text/x-haskell    hs
text/x-java    java
text/x-literate-haskell    lhs
text/x-moc    moc
text/x-pascal    p
text/x-pascal    pas
text/x-pcs-gcd    gcd
text/x-setext    etx
text/x-tcl    tcl
text/x-tex    cls
text/x-tex    ltx
text/x-tex    sty
text/x-tex    tex
text/x-vcalendar    vcs
text/x-vcard    vcf
text/xml    xml
video/3gpp    3g2
video/3gpp    3gp
video/3gpp    3gpp
video/dl    dl
video/dv    dif
video/dv    dv
video/fli    fli
video/m4v    m4v
video/mp4    mp4
video/mpeg    VOB
video/mpeg    mpe
video/mpeg    mpeg
video/mpeg    mpg
video/quicktime    mov
video/quicktime    qt
video/vnd.mpegurl    mxu
video/x-la-asf    lsf
video/x-la-asf    lsx
video/x-mng    mng
video/x-ms-asf    asf
video/x-ms-asf    asx
video/x-ms-wm    wm
video/x-ms-wmv    wmv
video/x-ms-wmx    wmx
video/x-ms-wvx    wvx
video/x-msvideo    avi
video/x-sgi-movie    movie
video/x-webex    wrf
x-conference/x-cooltalk    ice
x-epoc/x-sisx-app    sisx
